Code;Name;Continent;Region;SurfaceArea;IndepYear;Population;LifeExpectancy;GNP;GNPOld;LocalName;GovernmentForm;HeadOfState;Capital;Code2
ABW;Aruba;North America;Caribbean;193.0;;103000;78.4;828.0;793.0;Aruba;Nonmetropolitan Territory of The Netherlands;Beatrix;129;AW
AFG;Afghanistan;Asia;Southern and Central Asia;652090.0;1919;22720000;45.9;5976.0;;Afganistan/Afqanestan;Islamic Emirate;Mohammad Omar;1;AF
AGO;Angola;Africa;Central Africa;1246700.0;1975;12878000;38.3;6648.0;7984.0;Angola;Republic;José Eduardo dos Santos;56;AO
AIA;Anguilla;North America;Caribbean;96.0;;8000;76.1;63.2;;Anguilla;Dependent Territory of the UK;Elisabeth II;62;AI
ALB;Albania;Europe;Southern Europe;28748.0;1912;3401200;71.6;3205.0;2500.0;Shqipëria;Republic;Rexhep Mejdani;34;AL
AND;Andorra;Europe;Southern Europe;468.0;1278;78000;83.5;1630.0;;Andorra;Parliamentary Coprincipality;;55;AD
ANT;Netherlands Antilles;North America;Caribbean;800.0;;217000;74.7;1941.0;;Nederlandse Antillen;Nonmetropolitan Territory of The Netherlands;Beatrix;33;AN
ARE;United Arab Emirates;Asia;Middle East;83600.0;1971;2441000;74.1;37966.0;36846.0;Al-Imarat al-´Arabiya al-Muttahida;Emirate Federation;Zayid bin Sultan al-Nahayan;65;AE
ARG;Argentina;South America;South America;2780400.0;1816;37032000;75.1;340238.0;323310.0;Argentina;Federal Republic;Fernando de la Rúa;69;AR
ARM;Armenia;Asia;Middle East;29800.0;1991;3520000;66.4;1813.0;1627.0;Hajastan;Republic;Robert Kotarjan;126;AM
ASM;American Samoa;Oceania;Polynesia;199.0;;68000;75.1;334.0;;Amerika Samoa;US Territory;George W. Bush;54;AS
ATA;Antarctica;Antarctica;Antarctica;13120000.0;;0;;0.0;;;Co-administrated;;;AQ
ATF;French Southern territories;Antarctica;Antarctica;7780.0;;0;;0.0;;Terres australes françaises;Nonmetropolitan Territory of France;Jacques Chirac;;TF
ATG;Antigua and Barbuda;North America;Caribbean;442.0;1981;68000;70.5;612.0;584.0;Antigua and Barbuda;Constitutional Monarchy;Elisabeth II;63;AG
AUS;Australia;Oceania;Australia and New Zealand;7741220.0;1901;18886000;79.8;351182.0;392911.0;Australia;Constitutional Monarchy, Federation;Elisabeth II;135;AU
AUT;Austria;Europe;Western Europe;83859.0;1918;8091800;77.7;211860.0;206025.0;Österreich;Federal Republic;Thomas Klestil;1523;AT
AZE;Azerbaijan;Asia;Middle East;86600.0;1991;7734000;62.9;4127.0;4100.0;Azärbaycan;Federal Republic;Heydär Äliyev;144;AZ
BDI;Burundi;Africa;Eastern Africa;27834.0;1962;6695000;46.2;903.0;982.0;Burundi/Uburundi;Republic;Pierre Buyoya;552;BI
BEL;Belgium;Europe;Western Europe;30518.0;1830;10239000;77.8;249704.0;243948.0;België/Belgique;Constitutional Monarchy, Federation;Albert II;179;BE
BEN;Benin;Africa;Western Africa;112622.0;1960;6097000;50.2;2357.0;2141.0;Bénin;Republic;Mathieu Kérékou;187;BJ
BFA;Burkina Faso;Africa;Western Africa;274000.0;1960;11937000;46.7;2425.0;2201.0;Burkina Faso;Republic;Blaise Compaoré;549;BF
BGD;Bangladesh;Asia;Southern and Central Asia;143998.0;1971;129155000;60.2;32852.0;31966.0;Bangladesh;Republic;Shahabuddin Ahmad;150;BD
BGR;Bulgaria;Europe;Eastern Europe;110994.0;1908;8190900;70.9;12178.0;10169.0;Balgarija;Republic;Petar Stojanov;539;BG
BHR;Bahrain;Asia;Middle East;694.0;1971;617000;73.0;6366.0;6097.0;Al-Bahrayn;Monarchy (Emirate);Hamad ibn Isa al-Khalifa;149;BH
BHS;Bahamas;North America;Caribbean;13878.0;1973;307000;71.1;3527.0;3347.0;The Bahamas;Constitutional Monarchy;Elisabeth II;148;BS
BIH;Bosnia and Herzegovina;Europe;Southern Europe;51197.0;1992;3972000;71.5;2841.0;;Bosna i Hercegovina;Federal Republic;Ante Jelavic;201;BA
BLR;Belarus;Europe;Eastern Europe;207600.0;1991;10236000;68.0;13714.0;;Belarus;Republic;Aljaksandr Lukaenka;3520;BY
BLZ;Belize;North America;Central America;22696.0;1981;241000;70.9;630.0;616.0;Belize;Constitutional Monarchy;Elisabeth II;185;BZ
BMU;Bermuda;North America;North America;53.0;;65000;76.9;2328.0;2190.0;Bermuda;Dependent Territory of the UK;Elisabeth II;191;BM
BOL;Bolivia;South America;South America;1098581.0;1825;8329000;63.7;8571.0;7967.0;Bolivia;Republic;Hugo Bánzer Suárez;194;BO
BRA;Brazil;South America;South America;8547403.0;1822;170115000;62.9;776739.0;804108.0;Brasil;Federal Republic;Fernando Henrique Cardoso;211;BR
BRB;Barbados;North America;Caribbean;430.0;1966;270000;73.0;2223.0;2186.0;Barbados;Constitutional Monarchy;Elisabeth II;174;BB
BRN;Brunei;Asia;Southeast Asia;5765.0;1984;328000;73.6;11705.0;12460.0;Brunei Darussalam;Monarchy (Sultanate);Haji Hassan al-Bolkiah;538;BN
BTN;Bhutan;Asia;Southern and Central Asia;47000.0;1910;2124000;52.4;372.0;383.0;Druk-Yul;Monarchy;Jigme Singye Wangchuk;192;BT
BVT;Bouvet Island;Antarctica;Antarctica;59.0;;0;;0.0;;Bouvetøya;Dependent Territory of Norway;Harald V;;BV
BWA;Botswana;Africa;Southern Africa;581730.0;1966;1622000;39.3;4834.0;4935.0;Botswana;Republic;Festus G. Mogae;204;BW
CAF;Central African Republic;Africa;Central Africa;622984.0;1960;3615000;44.0;1054.0;993.0;Centrafrique/Bê-Afrîka;Republic;Ange-Félix Patassé;1889;CF
CAN;Canada;North America;North America;9970610.0;1867;31147000;79.4;598862.0;625626.0;Canada;Constitutional Monarchy, Federation;Elisabeth II;1822;CA
CCK;Cocos (Keeling) Islands;Oceania;Australia and New Zealand;14.0;;600;;0.0;;Cocos (Keeling) Islands;Territory of Australia;Elisabeth II;2317;CC
CHE;Switzerland;Europe;Western Europe;41284.0;1499;7160400;79.6;264478.0;256092.0;Schweiz/Suisse/Svizzera/Svizra;Federation;Adolf Ogi;3248;CH
CHL;Chile;South America;South America;756626.0;1810;15211000;75.7;72949.0;75780.0;Chile;Republic;Ricardo Lagos Escobar;554;CL
CHN;China;Asia;Eastern Asia;9572900.0;-1523;1277558000;71.4;982268.0;917719.0;Zhongquo;People'sRepublic;Jiang Zemin;1891;CN
CIV;Côte dIvoire;Africa;Western Africa;322463.0;1960;14786000;45.2;11345.0;10285.0;Côte dIvoire;Republic;Laurent Gbagbo;2814;CI
CMR;Cameroon;Africa;Central Africa;475442.0;1960;15085000;54.8;9174.0;8596.0;Cameroun/Cameroon;Republic;Paul Biya;1804;CM
COD;Congo, The Democratic Republic of the;Africa;Central Africa;2344858.0;1960;51654000;48.8;6964.0;2474.0;République Démocratique du Congo;Republic;Joseph Kabila;2298;CD
COG;Congo;Africa;Central Africa;342000.0;1960;2943000;47.4;2108.0;2287.0;Congo;Republic;Denis Sassou-Nguesso;2296;CG
COK;Cook Islands;Oceania;Polynesia;236.0;;20000;71.1;100.0;;The Cook Islands;Nonmetropolitan Territory of New Zealand;Elisabeth II;583;CK
COL;Colombia;South America;South America;1138914.0;1810;42321000;70.3;102896.0;105116.0;Colombia;Republic;Andrés Pastrana Arango;2257;CO
COM;Comoros;Africa;Eastern Africa;1862.0;1975;578000;60.0;4401.0;4361.0;Komori/Comores;Republic;Azali Assoumani;2295;KM
CPV;Cape Verde;Africa;Western Africa;4033.0;1975;428000;68.9;435.0;420.0;Cabo Verde;Republic;António Mascarenhas Monteiro;1859;CV
